MAYV,Species,TrophicGuild,Fruit,Leaves,Flowers,Seeds,Animal,Gums,Nectar,Other,IUCN,Pop_T,BodyMass,HomeRange,X1.1_ActivityCycle,X13.1_AdultHeadBodyLen_mm,X3.1_AgeatFirstBirth_d,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X21.1_PopulationDensity_n.km2,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X16.2_LittersPerYear_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Aridity (precip/PET),BodySizeRatio (AdultBodyMass/NeonateBodyMass),RelAgeSexMat (Age at sexual maturity/maximum longevity)
0,Callithrix geoffroyi,Gummivore,15,NA,NA,15.4,NA,68.6,NA,1,LC,S,0.24,23.3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,132745.3,-16.9,-21.07,-18.99,-39.13,-43.62,-41.38,11,47.67,14,0.06,108.43,216.05,1237.94,1455.44,0.074499808,NA,NA
0,Callithrix jacchus,Gummivore,23,NA,NA,NA,NA,68,NA,9,LC,S,0.32,3.6,3,NA,555.1,5,144,1,0.02,NA,159.8,2.31,201.6,27.74,508.18,455.99,8.55,2,2,60.24,1.67,604264.4,-2.78,-10.38,-6.58,-34.79,-45.78,-40.28,1,61.47,2,0.06,99.39,249.92,912.68,1488.61,0.066766984,0.011535689,2.261855159
0,Callithrix kuhlii,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,NT,D,0.38,20.63333333,3,NA,NA,4,NA,1,0.06,NA,NA,NA,NA,NA,59,NA,NA,2,2,NA,NA,34583.88,-14.4,-16.84,-15.62,-38.85,-40.32,-39.59,7,32.31,9.5,0.08,149.75,229.94,1475.45,1613.32,0.092821015,NA,NA
0,Callithrix penicillata,Gummivore,0,NA,NA,NA,30,70,NA,NA,LC,I,0.33,7.433333333,3,NA,NA,NA,NA,1,0.01,NA,NA,2,NA,NA,NA,NA,5.9,2,NA,NA,NA,1325473.3,-2.32,-23.03,-12.68,-40.15,-52.33,-46.24,1,23.65,1,0.07,117.22,219.92,1084.95,1442.42,0.081266205,NA,NA
0,Cebuella pygmaea,Omnivore,NA,NA,NA,NA,NA,27.5,NA,NA,LC,D,0.12,0.663333333,3,154.6,840.41,3,134.44,1,0.00212,0.00309,182.5,1.93,181.2,14.5,15.9,708.5,6,2,2,90.73,1.56,1508925.87,0.59,-12.52,-5.96,-61.36,-78.52,-69.94,0,2.19,0,0.1,208.53,256.47,1483.18,1526.07,0.136645108,0.008275862,3.91004415
0,Cebus albifrons,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,D,2.74,177.5,3,384.28,1467.3,5,158.29,2,0.53,0.15,547.5,1.01,528,231.92,16.79,1501.69,25,2,2,270.32,0.89,3105886.13,11.56,-13.21,-0.82,-55.24,-81,-68.12,0,8.75,0,0.11,192.99,252.69,1466.66,1559.7,0.123735334,0.011814419,2.844109848
0,Cebus capucinus,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,3.11,103.4833333,3,377.82,1460,4,161.06,2,0.35,0.63,790.83,1.01,657.6,238.36,27.27,2134.73,18.15,2,2,514.07,0.74,431037.87,16.02,1.46,8.74,-74.85,-88.77,-81.81,2,50.9,3,0.14,216.57,240.5,1382.23,1666.97,0.129918355,0.013047491,3.246243917
0,Cebus kaapori,Omnivore,74,NA,NA,10,13,NA,NA,3,CR,D,2.425,62.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83826.99,-1.84,-4.16,-3,-44.79,-49.47,-47.13,3,11.22,3,0.11,162.46,248.27,1334.36,1679.89,0.096708713,NA,NA
0,Cebus olivaceus,Omnivore,42,NA,1,NA,28,NA,1,28,LC,NA,2.88,257,3,404.1,2190,4,NA,2,1.7,2.57,792.05,1.01,492,NA,24.79,2525.48,11.45,2,2,725.86,0.74,1484240.05,11.37,-1.8,4.78,-49.88,-70.6,-60.24,0,14.75,0,0.13,155.52,248.83,1476.63,1703.14,0.091313691,NA,5.133089431
0,Cheracebus lucifer,Frugivore,74.1,8,0.6,NA,15.8,NA,NA,1.5,LC,NA,1.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
